fsq_id,fsq_name,cat_id,cat_name,lat,lon,address,District,par_cat
509706bde4b07ba8c75e3f4d,CLB Bóng Đá Cây Sộp,10051,Stadium,10.8504,106.631229,"1/96B, Nguyễn Văn Quá",District_12,Arts and Entertainment
5291abf6498ef0a965b7147a,Huynh De Soccer Stadium,10051,Stadium,10.731706,106.727148,,District_7,Arts and Entertainment
4ffa1beee4b045d12f74cc89,Phượng Beauty Salon,11061,Health and Beauty Service,10.738049,106.658044,Đường Số 6 C/c Bùi Minh Trực (Bông Sao),District_8,Business and Professional Services
561eeaf5498e5c15ea2311b6,Bánh cuốn nóng Thanh Tuyền,13379,Vietnamese Restaurant,10.67893,106.75044,,Nha_Be_District,Dining and Drinking
4fd191dfe4b008742719bc31,Hai Long Vuong,13379,Vietnamese Restaurant,10.919258,106.602507,Cau Xang,Cu_Chi_District,Dining and Drinking
500e871de4b0bceb1a9f5699,Bánh Bao Thọ Phát - Nguyễn Tri Phương,13002,Bakery,10.753045,106.669621,"78 Nguyễn Tri Phương, Thành phố Hồ Chí Minh, Ho Chi Minh City",District_5,Dining and Drinking
47ef34d272a447f90e2be657,Cửa Hàng Phụ Tùng Xe Máy Điểm,11009,Automotive Service,10.971633,106.480286,"844 Ấp Phước Hưng, Quốc Lộ 22, Hồ Chí Minh",Cu_Chi_District,Business and Professional Services
4ff823b8e4b054fbaaca329d,Giữa Sông,16043,River,10.756428,106.78975,Tỉnh Đồng Nai,Thu_Duc_City,Landmarks and Outdoors
5815d2b038fa1979d6ad73ad,Terra Mart,17069,Grocery Store / Supermarket,10.705693,106.64373,"Terra Rosa, đường số 7, KDC 13E, Phong Phú, Bình Chánh, Thành phố Hồ Chí Minh, Ho Chi Minh City",Binh_Chanh_District,Retail
4f4082b2e4b0c80f83abd945,The Gioi Di Dong,17026,Mobile Phone Store,10.782536,106.627005,351 Cau Giay,Tan_Phu_District,Retail
5ccd8fcf947c05002c3cf4fe,Hutong Hotpot Paradise,13196,Hotpot Restaurant,10.743009,106.612404,Ho Chi Minh City,Binh_Tan_District,Dining and Drinking
5175535e498e0949d188cf23,Cơm Tấm Đêm,13054,Food Truck,10.877064,106.531222,Nguyễn Ảnh Thủ,Hoc_Mon_District,Dining and Drinking
4f5c2e27e4b0a3bd2354e393,Blue Moon,17098,Music Store,10.891331,106.613402,,Hoc_Mon_District,Retail
eb90ff4f066f4777a1abcfd8,Nhà Thuốc Ngọc Sơn - Quận 8,17035,Drugstore,10.704356,106.627588,"3325A, Ba Tơ, Hồ Chí Minh",District_8,Retail
50668382e4b02e9a8374bcb7,Huy Long Cafe,13034,Café,10.719423,106.701916,"1 Biệt Thự Ngân Long, Nguyễn Hữu Thọ, Nhà Bè, Hồ Chí Minh",Nha_Be_District,Dining and Drinking
509bdd95e4b0e8d7a6d7cba8,Aladin Karaoke,13015,Karaoke Bar,10.752703,106.616419,,Binh_Tan_District,Dining and Drinking
5315d1d5498e58a04d4ef666,Nguyễn Coffee - D.I.Y,13035,Coffee Shop,10.871906,106.59839,"28/7D Song Hành QL 22, Hóc Môn, Hồ Chí Minh",Hoc_Mon_District,Dining and Drinking
4cea47def3bda14342cec4e4,Cafe Mimosa,13034,Café,10.767771,106.643382,"312 Lạc Long Quân, Quận 11, Ho Chi Minh City",District_11,Dining and Drinking
4ce0bfe8825e721e273c7845,Carrot Restaurant,13072,Asian Restaurant,10.386947,106.920341,"Thạnh Thới, Ho Chi Minh City",Can_Gio_District,Dining and Drinking
61e6b68ddd790b215a52008f,"Điện Máy Xanh Huỳnh Tấn Phát, Quận 7",17025,Electronics Store,10.737277,106.730572,"Thành phố Hồ Chí Minh, Ho Chi Minh City",District_7,Retail
592f1db36fa81f64eb9255ae,Viễn Thông A 1081 Hậu Giang,17026,Mobile Phone Store,10.74535,106.624055,"1081 Hậu Giang, Thành phố Hồ Chí Minh, Ho Chi Minh City",District_6,Retail
5cb05686fb8e59002c2f2616,Highlands Coffee,13032,"Cafes, Coffee, and Tea Houses",10.842316,106.638778,"Thành phố Hồ Chí Minh, Ho Chi Minh City",Go_Vap_District,Dining and Drinking
9792da31a982460856178a3a,Nhà Thuốc Hoàng Anh,17035,Drugstore,10.74013,106.547651,"B5/6C Ấp 2 Trần Đại Nghĩa, Bình Chánh, Hồ Chí Minh",Binh_Chanh_District,Retail
